Context,Source,Translation
"ST_Mod_Architecture,TobiPack_AleKeg.Description",Tavern Keg full of Evening Ale,Fût de taverne rempli de bière du soir.
"ST_Mod_Architecture,TobiPack_AleKeg.Name",Ale Keg,Fût de bière
"ST_Mod_Architecture,TobiPack_BirdNest_A.Description",A Bird Nest that produces Eggs,Un nid d'oiseau qui produit des œufs.
"ST_Mod_Architecture,TobiPack_BirdNest_A.Name",Bird Nest,Nid d'oiseau
"ST_Mod_Architecture,TobiPack_BirdNest_B.Description",A Bird Nest that produces Feathers,Un nid d'oiseau qui produit des plumes.
"ST_Mod_Architecture,TobiPack_BirdNest_B.Name",Bird Nest,Nid d'oiseau
"ST_Mod_Architecture,TobiPack_Ceiling_Center.Description",A Decorated Wooden Ceiling,Un plafond en bois décoré.
"ST_Mod_Architecture,TobiPack_Ceiling_Center.Name",Decorated Wooden Ceiling,Plafond en bois décoré
"ST_Mod_Architecture,TobiPack_Ceiling_Corner.Description",Place on a wall to create a ceiling above.,À placer sur un mur pour créer un plafond au-dessus.
"ST_Mod_Architecture,TobiPack_Ceiling_Corner.Name",Ornate Ceiling Corner,Plafond voûté orné
"ST_Mod_Architecture,TobiPack_DecoratedArch_A.Description",A decorated arch with wood,Une arche décorée en bois.
"ST_Mod_Architecture,TobiPack_DecoratedArch_A.Name",Decorated Arch,Arche décorée
"ST_Mod_Architecture,TobiPack_DecoratedArch_B.Description",A decorated arch with wood,Une arche décorée en bois.
"ST_Mod_Architecture,TobiPack_DecoratedArch_B.Name",Decorated Arch,Arche décorée
"ST_Mod_Architecture,TobiPack_Floor_Wood_3x3_A.Description",A beautiful decorated Wooden Floor,Un parquet magnifiquement décoré.
"ST_Mod_Architecture,TobiPack_Floor_Wood_3x3_A.Name",Decorated Wooden Floor,Sol en bois décoré
"ST_Mod_Architecture,TobiPack_LargeBrazier.Description",A Big Brazier,Un grand brasero.
"ST_Mod_Architecture,TobiPack_LargeBrazier.Name",Large Brazier,Grand brasero
"ST_Mod_Architecture,UzbadPack_AngledWoodenFloor_A.Description",Angled Wooden Floor,Un plancher de bois en angle.
"ST_Mod_Architecture,UzbadPack_AngledWoodenFloor_A.Name",Angled Wooden Floor,Sol de bois en angle
"ST_Mod_Architecture,UzbadPack_ChoppingBlock_A.Description",Chopping block,Un billot de découpe.
"ST_Mod_Architecture,UzbadPack_ChoppingBlock_A.Name",Chopping block,Billot
"ST_Mod_Architecture,UzbadPack_KitchenCauldron_A.Description",Kitchen Cauldron,Un chaudron de cuisine.
"ST_Mod_Architecture,UzbadPack_KitchenCauldron_A.Name",Kitchen Cauldron,Chaudron
"ST_Mod_Architecture,UzbadPack_ThinWoodFloorTile_A.Description",Thin Wood Floor Tile,Un carrelage de sol en bois mince.
"ST_Mod_Architecture,UzbadPack_ThinWoodFloorTile_A.Name",Thin Wood Floor Tile,Carreau de sol en bois mince
"ST_Mod_Architecture,ZetaPack_WhiteGraniteBarrier_A.Description",A short barrier made of granite blocks.,Une petite barrière à base de blocs de granit.
"ST_Mod_Architecture,ZetaPack_WhiteGraniteBarrier_A.Name",White Granite Barrier,Barrière en granit blanc
"ST_Mod_Architecture,ZetaPack_WhiteGraniteColumnBase_A.Description",A White Granite Column Base,Un socle de colonne en granit blanc.
"ST_Mod_Architecture,ZetaPack_WhiteGraniteColumnBase_A.Name",White Granite Column Base,Socle de colonne en granit blanc
"ST_Mod_Architecture,ZetaPack_WhiteGraniteColumnCapital_A.Description",A White Granite Column Capital,Un chapiteau de colonne en granit blanc.
"ST_Mod_Architecture,ZetaPack_WhiteGraniteColumnCapital_A.Name",White Granite Column Capital,Chapiteau de colonne en granit blanc
"ST_Mod_Architecture,ZetaPack_WhiteGraniteColumnShaft_A.Description",A White Granite Column Shaft,Un fût de colonne en granit blanc.
"ST_Mod_Architecture,ZetaPack_WhiteGraniteColumnShaft_A.Name",White Granite Column Shaft,Fût de colonne en granit blanc
"ST_Mod_Architecture,ZetaPack_WhiteGraniteDoor_A.Description",A door set in a fine white granite wall,Une porte encastrée dans un beau mur de granit blanc.
"ST_Mod_Architecture,ZetaPack_WhiteGraniteDoor_A.Name",White Granite Door,Porte en granit blanc
"ST_Mod_Architecture,ZetaPack_WhiteGraniteFloor_A.Description",A nicely tiled granite floor.,Un joli sol en granit carrelé.
"ST_Mod_Architecture,ZetaPack_WhiteGraniteFloor_A.Name",White Granite Floor,Sol en granit blanc
"ST_Mod_Architecture,ZetaPack_WhiteGraniteStairs_A.Description",White Granite Stairs,Un escaliers à base de granit blanc.
"ST_Mod_Architecture,ZetaPack_WhiteGraniteStairs_A.Name",White Granite Stairs,Escaliers en granit blanc
"ST_Mod_Architecture,ZetaPack_WhiteGraniteTrimedBarrier_A.Description",A short barrier made of granite blocks.,Une petite barrière à base de blocs de granit.
"ST_Mod_Architecture,ZetaPack_WhiteGraniteTrimedBarrier_A.Name",White Granite Trimed Barrier,Barrière bordée de granit blanc
"ST_Mod_Architecture,ZetaPack_WhiteGraniteWall_A.Description",White Granite Wall,Un mur en granit blanc.
"ST_Mod_Architecture,ZetaPack_WhiteGraniteWall_A.Name",White Granite Wall,Mur en granit blanc
"ST_Mod_Architecture,ZetaPack_WhiteGraniteWindow_A.Description",White Granite Window,Une fenêtre en granit blanc.
"ST_Mod_Architecture,ZetaPack_WhiteGraniteWindow_A.Name",White Granite Window,Fenêtre en granit blanc
"ST_Mod_Interactables,100BuildingsPack_HangingIronLantern_A.Description",A simple and sturdy lantern,Une lanterne simple et robuste.
"ST_Mod_Interactables,100BuildingsPack_HangingIronLantern_A.Name",Hanging iron lantern,Lanterne en fer suspendue
"ST_Mod_Interactables,100BuildingsPack_TelcharForge_A.Description",Advanced forge used by Telchar,Forge avancée utilisée par Telchar.
"ST_Mod_Interactables,100BuildingsPack_TelcharForge_A.Name",Telchar Forge,Forge de Telchar
"ST_Mod_Items,Items.CrimsonIngot.Description",Crimson Metal Ingot Description,Un lingot aux reflets cramoisis semblable au soleil couchant.
"ST_Mod_Items,Items.CrimsonIngot.Name",Crimson Metal Ingot,Lingot de métal cramoisi
"ST_Mod_Items,Items.FungalFoliageCutting_A.Description",Deep Flowers Cutting Description,Ces fleurs ne poussent que dans les Profondeurs inférieures.
"ST_Mod_Items,Items.FungalFoliageCutting_A.Name",Deep Flowers Cutting,Coupe de fleurs des profondeurs
"ST_Mod_Items,Items.FungalFoliageCutting_B.Description",Glowing Mushrooms Description,Ces champignons lumineux ne poussent que dans les Profondeurs inférieures.
"ST_Mod_Items,Items.FungalFoliageCutting_B.Name",Glowing Mushrooms,Champignons lumineux
"ST_Mod_Items,Tools.Hammer.Tobi.Broken.Description",Use the Repair Smithy to mend.,Utilisez l’atelier de réparation pour réparer.
"ST_Mod_Items,Tools.Hammer.Tobi.Broken.Name",Broken Tobi’s Hammer,Marteau de Tobi brisé
"ST_Mod_Items,Tools.Hammer.Tobi.Description",A tool created by the ancient architecs’ guild of Moria.,Un outil créé par l'ancienne guilde des architectes de la Moria.
"ST_Mod_Items,Tools.Hammer.Tobi.Name",Tobi’s Hammer,Marteau de Tobi
"ST_Mod_Items,Weapons.Battleaxe.Dain.Broken.Description",Use the Repair Smithy to mend.,Utilisez l’atelier de réparation pour réparer.
"ST_Mod_Items,Weapons.Battleaxe.Dain.Broken.Name",Broken Dain’s Battleaxe,Hache d’armes de Dáin brisé
"ST_Mod_Items,Weapons.Battleaxe.Dain.Description",Battleaxe used by the Lord of the Iron Hills,Hache d’armes utilisé par le Seigneur des Collines de Fer.
"ST_Mod_Items,Weapons.Battleaxe.Dain.Name",Dain’s Battleaxe,Hache d’armes de Dáin
"ST_Mod_Items,Weapons.Hammer.Dain.Broken.Description",Use the Repair Smithy to mend.,Utilisez l’atelier de réparation pour réparer.
"ST_Mod_Items,Weapons.Hammer.Dain.Broken.Name",Broken Dain’s Warhammer,Marteau de guerre de Dáin brisé
"ST_Mod_Items,Weapons.Hammer.Dain.Description",Warhammer used by Lord of the Iron Hills,Marteau de guerre utilisé par le Seigneur des Collines de Fer.
"ST_Mod_Items,Weapons.Hammer.Dain.Name",Dain’s Warhammer,Marteau de guerre de Dáin
"ST_Mod_Items,Weapons.Hammer.Thrain.Broken.Description",Use the Repair Smithy to mend.,Utilisez l’atelier de réparation pour réparer.
"ST_Mod_Items,Weapons.Hammer.Thrain.Broken.Name",Broken Thrain’s Warhammer,Marteau de guerre de Thráin brisé
"ST_Mod_Items,Weapons.Hammer.Thrain.Description",Warhammer used by King Thrain,Marteau de guerre utilisé par le Roi Thráin.
"ST_Mod_Items,Weapons.Hammer.Thrain.Name",Thrain’s Warhammer,Marteau de guerre de Thráin
