key,source,Translation
ST_Mod_Items::Weapons.Hammer.Thrain.Broken.Name,Broken Thrain’s Warhammer,
ST_Mod_Items::Tools.Hammer.Tobi.Broken.Name,Broken Tobi’s Hammer,
ST_Mod_Items::Items.CrimsonIngot.Name,Crimson Metal Ingot,
ST_Mod_Items::Items.CrimsonIngot.Description,Crimson Metal Ingot Description,
ST_Mod_Items::Armor.BearGuild.Gloves_T6.Description,"Crush your enemies with this rustic, timeless design.",
ST_Mod_Items::Weapons.Battleaxe.Dain.Name,Dain’s Battleaxe,
ST_Mod_Items::Weapons.Hammer.Dain.Name,Dain’s Warhammer,
ST_Mod_Items::Items.FungalFoliageCutting_A.Name,Deep Flowers Cutting,
ST_Mod_Items::Items.FungalFoliageCutting_A.Description,Deep Flowers Cutting Description,
ST_Mod_Items::Armor.BearGuild.Gloves_T5.Description,Fists like Hammers.,
ST_Mod_Items::Items.FungalFoliageCutting_B.Name,Glowing Mushrooms,
ST_Mod_Items::Items.FungalFoliageCutting_B.Description,Glowing Mushrooms Description,
ST_Mod_Items::Armor.BearGuild.Gloves_T6.Name,Mithril Knuckle Dusters,
ST_Mod_Items::Armor.BearGuild.Gloves_T5.Name,Nogrod Hammer-Fists,
ST_Mod_Items::Weapons.Hammer.Thrain.Name,Thrain’s Warhammer,
ST_Mod_Items::Tools.Hammer.Tobi.Name,Tobi’s Hammer,
ST_Mod_Items::Armor.BearGuild.Shield.Broken.Description,Use the Repair Smithy to mend.,
ST_Mod_Items::Tools.Hammer.Tobi.Broken.Description,Use the Repair Smithy to mend.,
ST_Mod_Items::Weapons.Battleaxe.Dain.Broken.Description,Use the Repair Smithy to mend.,
ST_Mod_Items::Weapons.Hammer.Dain.Broken.Description,Use the Repair Smithy to mend.,
ST_Mod_Items::Weapons.Hammer.Thrain.Broken.Description,Use the Repair Smithy to mend.,
ST_Mod_Items::Weapons.Hammer.Thrain.Description,Warhammer used by King Thrain,
ST_Mod_Items::Weapons.Hammer.Dain.Description,Warhammer used by Lord of the Iron Hills,
